"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"search:Mission_Context:2                search:collection_date:1               ","Attribute","collection_date","n/a","search","Date or time period when the data was collected.","drum","ASCII_Date_Time_YMD","1","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","TIME"
"search:Mission_Context:2                search:processing_level:1              ","Attribute","processing_level","n/a","search","Level of processing applied to the raw data.","drum","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Mission_Context:2                search:processing_level:2               Value:Calibrated","Value","Calibrated","","","Data that has been calibrated but not further processed"
"search:Mission_Context:2                search:processing_level:2               Value:Derived_Product","Value","Derived_Product","","","Higher-level data product derived from processed data"
"search:Mission_Context:2                search:processing_level:2               Value:Mosaic","Value","Mosaic","","","Combined data from multiple observations or sources"
"search:Mission_Context:2                search:processing_level:2               Value:Other","Value","Other","","","Any processing level not covered by other values"
"search:Mission_Context:2                search:processing_level:2               Value:Raw","Value","Raw","","","Unprocessed data directly from the instrument"
"search:Environmental_Context:1         ","Class","Environmental_Context","1.0.0.0","search","Information about the environmental conditions at the study location.","drum","","","","","","","","","","",""
"search:Environmental_Context:2          search:temperature_regime:1            ","Attribute","temperature_regime","n/a","search","Temperature conditions at the study location.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"search:Environmental_Context:2          search:temperature_regime:2             Value:Cold","Value","Cold","","","Below freezing but not extreme"
"search:Environmental_Context:2          search:temperature_regime:2             Value:Cryogenic","Value","Cryogenic","","","Extremely low temperatures, typically below 120K"
"search:Environmental_Context:2          search:temperature_regime:2             Value:Extreme_Heat","Value","Extreme_Heat","","","Very high temperatures like Venus surface"
"search:Environmental_Context:2          search:temperature_regime:2             Value:Hot","Value","Hot","","","High temperatures but below extreme"
"search:Environmental_Context:2          search:temperature_regime:2             Value:Other","Value","Other","","","Any temperature regime not covered by other values"
"search:Environmental_Context:2          search:temperature_regime:2             Value:Temperate","Value","Temperate","","","Moderate temperatures, similar to Earth temperate regions"
"search:Environmental_Context:2          search:temperature_regime:2             Value:Variable","Value","Variable","","","Wide temperature variations or cycles"
"search:Environmental_Context:2          search:pressure_conditions:1           ","Attribute","pressure_conditions","n/a","search","Pressure conditions at the study location.","drum","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
